latency,type,dataset,third,N1,resp
41112.7,3,NeoRec_2018-07-06_14-02-33,3,0.5788289,low
41209.1,3,NeoRec_2018-07-06_14-02-33,3,-4.360679,low
41299.1,3,NeoRec_2018-07-06_14-02-33,3,-0.7138338,low
49654.5,4,NeoRec_2018-07-06_14-02-33,1,4.013827,high
49751.9,4,NeoRec_2018-07-06_14-02-33,1,-0.5893237,high
49848.9,4,NeoRec_2018-07-06_14-02-33,1,-4.8831,high
49944.3,4,NeoRec_2018-07-06_14-02-33,1,-2.842565,high
50029.1,4,NeoRec_2018-07-06_14-02-33,1,-3.636929,high
50109.6,4,NeoRec_2018-07-06_14-02-33,1,1.806061,high
50201.8,4,NeoRec_2018-07-06_14-02-33,1,-7.734267,high
50290.8,4,NeoRec_2018-07-06_14-02-33,1,5.3349,high
50390.6,4,NeoRec_2018-07-06_14-02-33,1,-5.684999,high
50510,4,NeoRec_2018-07-06_14-02-33,1,-6.600341,high
50616,4,NeoRec_2018-07-06_14-02-33,1,5.577467,high
50705.1,4,NeoRec_2018-07-06_14-02-33,1,-0.3819444,high
50788.3,4,NeoRec_2018-07-06_14-02-33,1,-2.88185,high
50876.5,4,NeoRec_2018-07-06_14-02-33,1,-2.892864,high
50966.5,4,NeoRec_2018-07-06_14-02-33,2,-0.09939851,high
51047.3,4,NeoRec_2018-07-06_14-02-33,2,-2.170806,high
51147.1,4,NeoRec_2018-07-06_14-02-33,2,-5.824789,high
51255.7,4,NeoRec_2018-07-06_14-02-33,2,-4.783699,high
51367.4,4,NeoRec_2018-07-06_14-02-33,2,-8.599659,high
51450.2,4,NeoRec_2018-07-06_14-02-33,2,-10.40374,high
51533.8,4,NeoRec_2018-07-06_14-02-33,2,0.593756,high
51618.8,4,NeoRec_2018-07-06_14-02-33,2,-0.8294144,high
51712.8,4,NeoRec_2018-07-06_14-02-33,2,-2.449216,high
51826.1,4,NeoRec_2018-07-06_14-02-33,2,-4.313949,high
51927.1,4,NeoRec_2018-07-06_14-02-33,2,5.9261,high
52029.9,4,NeoRec_2018-07-06_14-02-33,2,-2.743609,high
52131.5,4,NeoRec_2018-07-06_14-02-33,2,0.8487659,high
